Carrier,ArrDelay,Month,DayofMonth,Ratio,Total Delay
MQ,1025,9,29,0.1804,245
MQ,15,9,30,0.0990,134
MQ,35,10,1,0.0824,105
MQ,15,10,2,0.0717,91
MQ,19,10,3,0.1372,174
MQ,22,10,4,0.0522,53
MQ,619,10,5,0.1229,151
MQ,54,10,6,0.1448,185
MQ,20,10,7,0.1432,183
MQ,57,10,8,0.0994,127
MQ,58,10,9,0.0897,114
MQ,33,10,10,0.1159,147
MQ,46,10,11,0.0574,58
MQ,16,10,12,0.0721,88
MQ,41,10,13,0.0819,104
MQ,15,10,14,0.1165,148
MQ,16,10,15,0.2693,342
MQ,26,10,16,0.1701,216
MQ,401,10,17,0.0954,121
MQ,102,10,18,0.0603,61
MQ,103,10,19,0.0819,100
MQ,18,10,20,0.1094,139
MQ,15,10,21,0.0906,115
MQ,27,10,22,0.1543,196
MQ,100,10,23,0.0843,107
MQ,25,10,24,0.1838,233
MQ,569,10,25,0.0682,69
MQ,44,10,26,0.2498,305
MQ,85,10,27,0.2764,351
MQ,73,10,28,0.1598,203
MQ,16,10,29,0.0764,97
MQ,19,10,30,0.1047,133
MQ,17,10,31,0.0931,118
MQ,103,11,1,0.0561,56
MQ,21,11,2,0.1119,126
MQ,15,11,3,0.0731,87
MQ,99,11,4,0.0412,49
MQ,22,11,5,0.0899,107
MQ,27,11,6,0.2420,289
MQ,15,11,7,0.2232,266
MQ,23,11,8,0.1195,116
MQ,16,11,9,0.1288,147
MQ,22,11,10,0.1168,139
MQ,23,11,11,0.2475,294
MQ,15,11,12,0.2681,319
MQ,48,11,13,0.1608,192
MQ,22,11,14,0.2039,243
MQ,15,11,15,0.1308,127
MQ,26,11,16,0.1586,181
MQ,34,11,17,0.1294,154
MQ,18,11,18,0.1076,128
MQ,36,11,19,0.1118,133
MQ,68,11,20,0.1918,229
MQ,55,11,21,0.1435,171
MQ,17,11,22,0.1143,111
MQ,129,11,23,0.0815,93
MQ,21,11,24,0.1832,218
MQ,35,11,25,0.1462,174
MQ,19,11,26,0.1189,142
MQ,51,11,27,0.0762,67
MQ,64,11,28,0.1014,103
MQ,145,11,29,0.0905,88
MQ,19,11,30,0.5320,607
MQ,32,12,1,0.6235,742
MQ,32,12,2,0.2878,341
MQ,15,12,3,0.2855,338
MQ,21,12,4,0.1532,182
MQ,40,12,5,0.1772,210
MQ,22,12,6,0.2969,285
MQ,17,12,7,0.2058,234
MQ,39,12,8,0.1655,196
MQ,24,12,9,0.3556,421
MQ,25,12,10,0.3530,418
MQ,16,12,11,0.2155,256
MQ,114,12,12,0.1688,200
MQ,18,12,13,0.0896,86
MQ,26,12,14,0.1847,210
MQ,147,12,15,0.4764,564
MQ,15,12,16,0.4367,517
MQ,16,12,17,0.6334,750
MQ,31,12,18,0.3881,458
MQ,19,12,19,0.4783,563
MQ,15,12,20,0.4154,395
MQ,16,12,21,0.4854,547
MQ,138,12,22,0.5170,608
MQ,69,12,23,0.5013,590
MQ,23,12,24,0.4927,504
MQ,19,12,25,0.3893,392
MQ,41,12,26,0.3313,389
MQ,63,12,27,0.4995,475
MQ,89,12,28,0.3313,373
MQ,34,12,29,0.1065,125
MQ,611,12,30,0.1422,167
MQ,15,12,31,0.2092,210
OO,44,1,1,0.3167,490
OO,118,1,2,0.2893,497
OO,21,1,3,0.2375,405
OO,47,1,4,0.2917,484
OO,103,1,5,0.5168,786
OO,61,1,6,0.5344,871
OO,55,1,7,0.3352,546
OO,58,1,8,0.2950,469
OO,20,1,9,0.2182,350
OO,17,1,10,0.2166,352
OO,76,1,11,0.1880,306
OO,25,1,12,0.0887,118
OO,29,1,13,0.1750,266
OO,38,1,14,0.1446,235
OO,17,1,15,0.2099,334
